カテゴリ,実装済みへ寄せる候補,要件のみ,truly未実装,合計
IT資産管理,21,0,0,21
アーキテクチャ管理,0,24,0,24
インシデント管理,1,1,0,2
インシデント管理; 問題管理,1,0,0,1
インフラストラクチャおよびプラットフォーム管理,126,2,0,128
ガバナンス,0,5,0,5
ガバナンス; 情報セキュリティ管理,0,1,0,1
ガバナンス; 監査,1,0,0,1
コミュニケーション,0,2,0,2
サプライヤ管理,0,24,0,24
サービスデスク,0,3,0,3
サービスデスク; インシデント管理,0,1,0,1
サービスデスク; 変更管理,1,0,0,1
サービス妥当性確認およびテスト,21,0,0,21
サービス構成管理,23,0,0,23
サービス構成管理; 変更管理,1,0,0,1
サービス継続管理,21,0,0,21
サービス要求管理; 変更管理,1,0,0,1
サービス設計,21,0,0,21
サービス財務管理,0,24,0,24
ソフトウェア開発および管理,129,4,0,133
デプロイメント管理,128,0,0,128
ナレッジ管理（検索性向上）,2,9,0,11
ビジネス分析,21,0,0,21
プロジェクト管理,0,25,0,25
ポートフォリオ管理,0,24,0,24
リスク管理,0,25,0,25
リリース管理,1,0,0,1
人材・タレント管理,0,0,24,24
可用性管理,21,0,0,21
問題管理,21,0,0,21
変更管理,2,0,0,2
変更管理; プロジェクト管理,1,0,0,1
変更管理; 測定および報告,1,0,0,1
容量・パフォーマンス管理,21,0,0,21
情報セキュリティ管理,29,10,0,39
戦略管理,0,24,0,24
測定および報告,0,10,0,10
監視およびイベント管理,4,1,0,5
組織変更管理,0,24,0,24
継続的改善,0,25,0,25
合計,620,268,24,912
